traitement,seuil,n_switchers,part_switchers,part_variation_conservee
Lisière,2.3673456258375487,689,0.06845504222553403,0.46248344907848
Lisière,2.4002254261964033,670,0.06656731246895181,0.4559287094221626
Lisière,2.4331052265552584,658,0.06537506209637357,0.4517263300303835
Lisière,2.465985026914113,640,0.06358668653750621,0.4453334940810714
Lisière,2.498864827272968,626,0.06219572776949826,0.44029925478995263
Lisière,2.5317446276318227,612,0.060804769001490316,0.4351984716027959
Lisière,2.564624427990678,599,0.05951316443119722,0.4303958198851192
Lisière,2.5975042283495324,591,0.05871833084947839,0.42740019379694266
Lisière,2.6303840287083875,577,0.05732737208147044,0.4220919660158101
Lisière,2.663263829067242,564,0.05603576751117735,0.4171026267286893
Lisière,2.696143629426097,555,0.05514157973174367,0.4136110012242521
Lisière,2.729023429784952,548,0.054446100347739695,0.4108619549002948
Lisière,2.761903230143807,542,0.05384997516145057,0.40847538448945847
Lisière,2.7947830305026615,533,0.05295578738201689,0.40484970926895547
Lisière,2.8276628308615166,525,0.05216095380029806,0.40158556919124977
Lisière,2.8605426312203712,515,0.05116741182314953,0.3974679822921852
Lisière,2.8934224315792263,505,0.050173869846000994,0.3932911786099727
Lisière,2.926302231938081,492,0.0488822652757079,0.38781720835136996
Lisière,2.959182032296936,487,0.04838549428713363,0.3856887687688406
Lisière,2.9920618326557906,476,0.04729259811227025,0.3809460014629017
Lisière,3.0249416330146457,466,0.04629905613512171,0.37658440020953204
Lisière,3.0578214333735003,458,0.04550422255340288,0.3730597145709604
Lisière,3.0907012337323554,452,0.044908097367113764,0.37038719198209336
Lisière,3.12358103409121,443,0.04401390958768008,0.3663398997546332
Lisière,3.1564608344500646,439,0.043616492796820665,0.36452206542723686
Lisière,3.1893406348089197,430,0.04272230501738698,0.360386950923327
Lisière,3.2222204351677743,423,0.04202682563338301,0.3571330044649212
Lisière,3.2551002355266294,416,0.041331346249379036,0.353850681317747
Lisière,3.287980035885484,411,0.04083457526080477,0.3514782263538948
Lisière,3.320859836244339,401,0.039841033283656235,0.34669157836781894
Lisière,3.3537396366031937,396,0.03934426229508197,0.34427315030629535
Lisière,3.386619436962049,391,0.0388474913065077,0.34182805970644364
Lisière,3.4194992373209034,384,0.038152011922503726,0.33837073649423455
Lisière,3.4523790376797585,381,0.03785394932935916,0.33687650615035514
Lisière,3.485258838038613,375,0.037257824143070044,0.3338619038549392
Lisière,3.518138638397468,370,0.03676105315449578,0.33132309342205885
Lisière,3.551018438756323,363,0.036065573770491806,0.3277362797420077
