"X","seuil","delta_1","n_switchers"
NA,0.0174208682728931,-0.821604127437364,4053
NA,0.000126015678979456,12.9957951889124,11058
NA,0.00144114247988909,-3.70615680131319,9606
NA,0.00328422449994832,-0.810476875713298,8386
NA,0.0154066814854741,-0.447871029112587,4436
NA,0.0147036861162633,-0.192408426965292,4574
NA,0.0194375127134845,-0.929719612878149,3711
NA,0.00932944753672928,1.61230905904165,5949
NA,0.00148769026622176,-3.35942734751601,9562
NA,0.0129763624863699,0.1041355053988,4972
NA,0.0151718633901328,-0.152654902108592,4480
NA,0.00274212162010372,-1.24795825878122,8669
NA,0.00793169189244509,0.5660067750536,6403
NA,0.0044997065840289,2.02255008909307,7768
NA,0.00115917121060193,-4.39609924645171,9839
NA,0.00791785376612097,0.588221117964437,6407
NA,0.00129856599960476,-3.71242906011721,9718
NA,0.00451772865839303,2.02969565435903,7761
NA,0.0010925821820274,-4.5754747309088,9907
NA,0.0134056407911703,0.382370707170154,4859
NA,0.00595483565237373,3.88734553446783,7154
NA,0.00201443164609373,-3.32057299161163,9146
NA,0.00143808194436133,-3.7751145227042,9609
NA,0.017608811375685,-1.145284153982,4011
NA,0.0150849480414763,-0.115979154850625,4494
NA,0.0163321177521721,-0.518344987914824,4257
NA,0.0196428074734285,-1.05204018944673,3673
NA,0.00207199289929122,-3.52593090605159,9099
NA,0.00198083658702672,-3.2645284522077,9168
NA,0.0159766322234645,-0.38954852078358,4321
NA,0.0156915053306147,-0.341857429617194,4380
NA,0.000188598101958632,15.026101650485,10957
NA,0.0155813176557422,-0.307570077478863,4401
NA,0.014587813038379,-0.235938596074317,4598
NA,0.0126026370562613,0.424285535623707,5039
